label,short,shortDomain,shortRange,description
academic advisor,dbo:academicAdvisor,dbo:Scientist,dbo:Person,academic advisor
academic discipline,dbo:academicDiscipline,dbo:AcademicJournal,,"academic discipline, an academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level. disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong."
Academy Award,dbo:academyAward,dbo:Artist,dbo:Award,academy award
achievement,dbo:achievement,dbo:Person,,achievement
ACT score,dbo:actScore,dbo:School,,"act score, most recent average act scores"
acting headteacher,dbo:actingHeadteacher,dbo:EducationalInstitution,dbo:Person,acting headteacher
activity,dbo:activity,dbo:Person,,activity
address in road,dbo:addressInRoad,dbo:Road,,"address in road, a building, organisation or other thing that is located in the road."
adjacent settlement of a switzerland settlement,dbo:adjacentSettlement,dbo:Settlement,dbo:Settlement,adjacent settlement of a switzerland settlement
administrative center,dbo:administrativeCenter,dbo:AdministrativeRegion,dbo:Place,administrative center
administrative collectivity,dbo:administrativeCollectivity,dbo:Settlement,dbo:PopulatedPlace,administrative collectivity
administrative district,dbo:administrativeDistrict,dbo:Settlement,dbo:PopulatedPlace,administrative district
head city,dbo:administrativeHeadCity,dbo:PopulatedPlace,dbo:City,"head city, city where stand the administrative power"
administrator,dbo:administrator,dbo:Organisation,dbo:Person,administrator
affiliation,dbo:affiliation,,dbo:Organisation,affiliation
AFI Award,dbo:afiAward,dbo:Artist,dbo:Award,afi award
agency,dbo:agency,dbo:Person,,agency
agglomeration,dbo:agglomeration,dbo:PopulatedPlace,dbo:Agglomeration,agglomeration
agglomeration area,dbo:agglomerationArea,dbo:PopulatedPlace,dbo:Area,agglomeration area
agglomeration demographics,dbo:agglomerationDemographics,dbo:PopulatedPlace,dbo:Demographics,agglomeration demographics
agglomeration population,dbo:agglomerationPopulation,dbo:Settlement,dbo:Population,agglomeration population
aircraft attack,dbo:aircraftAttack,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft attack
aircraft bomber,dbo:aircraftBomber,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft bomber
aircraft electronic,dbo:aircraftElectronic,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft electronic
aircraft fighter,dbo:aircraftFighter,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft fighter
aircraft helicopter,dbo:aircraftHelicopter,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter
aircraft helicopter attack,dbo:aircraftHelicopterAttack,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter attack
aircraft helicopter cargo,dbo:aircraftHelicopterCargo,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter cargo
aircraft helicopter multirole,dbo:aircraftHelicopterMultirole,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter multirole
aircraft helicopter observation,dbo:aircraftHelicopterObservation,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter observation
aircraft helicopter transport,dbo:aircraftHelicopterTransport,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter transport
aircraft helicopter utility,dbo:aircraftHelicopterUtility,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft helicopter utility
aircraft interceptor,dbo:aircraftInterceptor,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft interceptor
aircraft patrol,dbo:aircraftPatrol,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft patrol
aircraft recon,dbo:aircraftRecon,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft recon
aircraft transport,dbo:aircraftTransport,dbo:MilitaryUnit,dbo:MeanOfTransportation,aircraft transport
aircraft user,dbo:aircraftUser,dbo:Aircraft,dbo:Organisation,aircraft user
album,dbo:album,,dbo:Album,album
alliance,dbo:alliance,dbo:Airline,,alliance
alma mater,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,"alma mater, schools that they attended"
alongside,dbo:alongside,,dbo:Person,alongside
Alps group,dbo:alpsGroup,dbo:Mountain,dbo:MountainRange,"alps group, the alps group to which the mountain belongs, according to the soiusa classification"
Alps main part,dbo:alpsMainPart,dbo:Mountain,dbo:MountainRange,"alps main part, the alps main part to which the mountain belongs, according to the soiusa classification"
Alps major sector,dbo:alpsMajorSector,dbo:Mountain,dbo:MountainRange,"alps major sector, the alps major sector to which the mountain belongs, according to the soiusa classification"
Alps section,dbo:alpsSection,dbo:Mountain,dbo:MountainRange,"alps section, the alps section to which the mountain belongs, according to the soiusa classification"
Alps subgroup,dbo:alpsSubgroup,dbo:Mountain,dbo:MountainRange,"alps subgroup, the alps subgroup to which the mountain belongs, according to the soiusa classification"
Alps subsection,dbo:alpsSubsection,dbo:Mountain,dbo:MountainRange,"alps subsection, the alps subsection to which the mountain belongs, according to the soiusa classification"
Alps supergroup,dbo:alpsSupergroup,dbo:Mountain,dbo:MountainRange,"alps supergroup, the alps supergroup to which the mountain belongs, according to the soiusa classification"
altitude,dbo:altitude,dbo:Place,dbo:Altitude,altitude
alumni,dbo:alumni,dbo:EducationalInstitution,dbo:Person,alumni
amateur team,dbo:amateurTeam,"dbo:Athlete,_CareerStation",dbo:SportsTeam,amateur team
American Comedy Award,dbo:americanComedyAward,dbo:Comedian,dbo:Award,american comedy award
animal,dbo:animal,,dbo:Animal,animal
animator,dbo:animator,dbo:Cartoon,dbo:Agent,animator
announcedFrom,dbo:announcedFrom,dbo:Person,dbo:Place,announcedfrom
anthem,dbo:anthem,,dbo:Work,"anthem, official song (anthem) of a populatedplace, sportsteam, school or other"
apc president,dbo:apcPresident,,dbo:Person,apc president
appointer,dbo:appointer,,dbo:Person,appointer
archipelago,dbo:archipelago,dbo:Island,,archipelago
architect,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,architect
architectual bureau,dbo:architectualBureau,dbo:ArchitecturalStructure,dbo:Company,architectual bureau
architectural style,dbo:architecturalStyle,dbo:ArchitecturalStructure,,architectural style
area of search,dbo:areaOfSearch,dbo:SiteOfSpecialScientificInterest,dbo:PopulatedPlace,area of search
Ariel Award,dbo:arielAward,dbo:Actor,dbo:Award,ariel award
arrondissement,dbo:arrondissement,dbo:PopulatedPlace,dbo:PopulatedPlace,arrondissement
patron (art),dbo:artPatron,dbo:Agent,dbo:Artist,"patron (art), an influential, wealthy person who supported an artist, craftsman, a scholar or a noble.

. see also"
artery,dbo:artery,dbo:AnatomicalStructure,dbo:Artery,artery
performer,dbo:artist,dbo:MusicalWork,dbo:Agent,"performer, the performer or creator of the musical work."
Aspect Ratio,dbo:aspectRatio,dbo:Software,,aspect ratio
assembly,dbo:assembly,dbo:MeanOfTransportation,,assembly
assistant principal,dbo:assistantPrincipal,dbo:EducationalInstitution,,assistant principal
associate,dbo:associate,,dbo:Person,associate
associate editor,dbo:associateEditor,dbo:Newspaper,dbo:Person,associate editor
associateStar,dbo:associateStar,,dbo:Constellation,associatestar
associated act,dbo:associatedAct,dbo:Artist,dbo:Artist,associated act
associated band,dbo:associatedBand,,dbo:Band,associated band
associated musical artist,dbo:associatedMusicalArtist,,dbo:MusicalArtist,associated musical artist
associated rocket,dbo:associatedRocket,dbo:LaunchPad,dbo:Rocket,associated rocket
association of local government,dbo:associationOfLocalGovernment,dbo:Settlement,dbo:PopulatedPlace,association of local government
astrological sign,dbo:astrologicalSign,dbo:Person,,astrological sign
athletics,dbo:athletics,dbo:University,,athletics
athletics discipline,dbo:athleticsDiscipline,dbo:Athlete,dbo:Athletics,athletics discipline
attorney general,dbo:attorneyGeneral,dbo:LegalCase,dbo:Person,"attorney general, public attorney"
aunt,dbo:aunt,dbo:Woman,dbo:Person,aunt
author,dbo:author,dbo:Work,dbo:Person,author
authority,dbo:authority,,,authority
automobile platform,dbo:automobilePlatform,dbo:Automobile,dbo:Automobile,automobile platform
autonomy,dbo:autonomy,,,autonomy
available smart card,dbo:availableSmartCard,dbo:Station,,"available smart card, smartcard for fare payment system for public transit systems that are or will be available at the station."
award,dbo:award,,dbo:Award,"award, award won by a person, musical or other work, racehorse, building, etc"
BAFTA Award,dbo:baftaAward,dbo:Artist,dbo:Award,bafta award
band member,dbo:bandMember,dbo:Band,dbo:Person,"band member, a member of the band."
based on,dbo:basedOn,dbo:Work,dbo:Work,based on
battery,dbo:battery,,dbo:Battery,"battery, points out the battery used with/in a thing."
battle,dbo:battle,,dbo:MilitaryConflict,battle
beatified by,dbo:beatifiedBy,dbo:Saint,dbo:Person,beatified by
beatified place,dbo:beatifiedPlace,dbo:Saint,dbo:PopulatedPlace,beatified place
biggest city,dbo:biggestCity,dbo:Place,dbo:PopulatedPlace,biggest city
billed,dbo:billed,dbo:Wrestler,dbo:PopulatedPlace,billed
binomial,dbo:binomial,dbo:Species,,"binomial, used to name species with a name consisting of two words."
binomial authority,dbo:binomialAuthority,dbo:Species,,binomial authority
biome,dbo:biome,,,biome
bird,dbo:bird,dbo:Place,dbo:Species,"bird, birds are uniformly vertebrate animals, the vast majority of which can fly with their wings."
birth place,dbo:birthPlace,dbo:Animal,dbo:Place,"birth place, where the person was born"
birth sign,dbo:birthSign,dbo:Person,,birth sign
block alloy,dbo:blockAlloy,dbo:AutomobileEngine,,block alloy
board,dbo:board,dbo:Person,,board
body discovered,dbo:bodyDiscovered,dbo:Person,dbo:Place,body discovered
body style,dbo:bodyStyle,dbo:Automobile,,body style
boiler,dbo:boiler,dbo:Locomotive,,boiler
boiler pressure,dbo:boilerPressure,dbo:Locomotive,,boiler pressure
booster,dbo:booster,dbo:SpaceMission,dbo:Rocket,booster
border,dbo:border,,dbo:Area,border
borough,dbo:borough,dbo:PopulatedPlace,dbo:PopulatedPlace,borough
bourgmestre,dbo:bourgmestre,dbo:Settlement,dbo:Person,bourgmestre
boxing style,dbo:boxerStyle,dbo:Boxer,dbo:Sport,boxing style
branch from,dbo:branchFrom,dbo:AnatomicalStructure,dbo:AnatomicalStructure,branch from
branch to,dbo:branchTo,dbo:AnatomicalStructure,dbo:AnatomicalStructure,branch to
brand,dbo:brand,dbo:WrestlingEvent,dbo:TelevisionShow,brand
breeder,dbo:breeder,dbo:Animal,dbo:Person,breeder
British Comedy Awards,dbo:britishComedyAwards,dbo:Comedian,dbo:Award,british comedy awards
british wins,dbo:britishWins,dbo:Person,http://www.w3.org/2004/02/skos/core#Concept,british wins
broadcast area,dbo:broadcastArea,dbo:Broadcaster,dbo:PopulatedPlace,broadcast area
broadcast network,dbo:broadcastNetwork,dbo:Broadcaster,dbo:BroadcastNetwork,"broadcast network, the parent broadcast network to which the broadcaster belongs."
bronze medalist,dbo:bronzeMedalist,dbo:SportsEvent,dbo:Person,bronze medalist
brother,dbo:brother,dbo:Man,dbo:Person,brother
builder,dbo:builder,,,builder
building,dbo:building,dbo:Island,dbo:Building,building
buildingType,dbo:buildingType,dbo:Building,,"buildingtype, type is too general. we should be able to distinguish types of music from types of architecture"
its calculation needs,dbo:calculationNeeds,,,its calculation needs
campus,dbo:campus,dbo:University,,"campus, campus means any urban complex that offers residential, teaching and research facilities to the students of a university."
canonized by,dbo:canonizedBy,dbo:Saint,dbo:Person,canonized by
canonized place,dbo:canonizedPlace,dbo:Saint,dbo:PopulatedPlace,canonized place
canton,dbo:canton,dbo:Settlement,dbo:Settlement,canton
capital,dbo:capital,dbo:PopulatedPlace,dbo:City,capital
capital country,dbo:capitalCountry,dbo:Island,dbo:Country,capital country
capital district,dbo:capitalDistrict,dbo:Island,dbo:PopulatedPlace,capital district
capital mountain,dbo:capitalMountain,dbo:Island,dbo:Mountain,capital mountain
capital place,dbo:capitalPlace,dbo:Island,dbo:PopulatedPlace,capital place
capital position,dbo:capitalPosition,dbo:Island,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,capital position
capital region,dbo:capitalRegion,dbo:Island,dbo:PopulatedPlace,capital region
career station,dbo:careerStation,dbo:Person,dbo:CareerStation,"career station, this property links to a step in the career of a person, e.g. a soccer player, holding information on the time span, matches and goals he or she achieved at a club."
category,dbo:category,,,category
caterer,dbo:caterer,dbo:Infrastructure,dbo:Caterer,caterer
caused by,dbo:causedBy,dbo:Event,,caused by
cemetery,dbo:cemetery,dbo:ReligiousBuilding,dbo:Cemetery,cemetery
chief executive officer,dbo:ceo,dbo:Organisation,dbo:Person,chief executive officer
Ceremonial County,dbo:ceremonialCounty,dbo:PopulatedPlace,dbo:PopulatedPlace,ceremonial county
Cesar Award,dbo:cesarAward,dbo:Artist,dbo:Award,cesar award
chaîne,dbo:chain,,dbo:Company,"chaîne, the (business) chain this instance is associated with."
chair label,dbo:chairLabel,,,chair label
chairman,dbo:chairman,,dbo:Person,chairman
chairperson,dbo:chairperson,dbo:Organisation,dbo:Person,chairperson
champion,dbo:champion,dbo:SportsEvent,dbo:Athlete,"champion, winner of a competition"
champion in double,dbo:championInDouble,dbo:SportsEvent,dbo:Athlete,"champion in double, winner of a competition in the double session (as in tennis)"
champion in double female,dbo:championInDoubleFemale,dbo:SportsEvent,dbo:Athlete,"champion in double female, winner of a competition in the female double session (as in tennis)"
champion in double male,dbo:championInDoubleMale,dbo:SportsEvent,dbo:Athlete,"champion in double male, winner of a competition in the male double session (as in tennis)"
champion in mixed double,dbo:championInMixedDouble,dbo:SportsEvent,dbo:Athlete,"champion in mixed double, winner of a competition in the mixed double session (as in tennis)"
champion in single,dbo:championInSingle,dbo:SportsEvent,dbo:Athlete,"champion in single, winner of a competition in the single session, to distinguish from the double session (as in tennis)"
champion in single female,dbo:championInSingleFemale,dbo:SportsEvent,dbo:Athlete,"champion in single female, winner of a competition in the single female session, to distinguish from the double session (as in tennis)"
champion in single male,dbo:championInSingleMale,dbo:SportsEvent,dbo:Athlete,"champion in single male, winner of a competition in the single male session, to distinguish from the double session (as in tennis)"
chancellor,dbo:chancellor,,dbo:Person,chancellor
channel,dbo:channel,,dbo:Broadcaster,channel
chaplain,dbo:chaplain,dbo:Organisation,dbo:Person,chaplain
chef,dbo:chef,dbo:Restaurant,dbo:Person,chef
chief,dbo:chief,,dbo:Chief,chief
chief editor,dbo:chiefEditor,dbo:Work,dbo:Person,chief editor
chief place,dbo:chiefPlace,,dbo:PopulatedPlace,chief place
child,dbo:child,dbo:Person,dbo:Person,child
child organisation,dbo:childOrganisation,dbo:Organisation,dbo:Organisation,child organisation
choreographer,dbo:choreographer,dbo:FigureSkater,dbo:Person,choreographer
cinematography,dbo:cinematography,dbo:Film,dbo:Person,cinematography
citizenship,dbo:citizenship,dbo:Person,,citizenship
city,dbo:city,,dbo:City,city
clade,dbo:clade,dbo:Species,,clade
class,dbo:class,,,class
classis,dbo:classis,dbo:Species,,"classis, the living thing class (from the latin ""classis""), according to the biological taxonomy"
climate,dbo:climate,dbo:Place,,climate
is close to,dbo:closeTo,dbo:Place,dbo:Place,"is close to, place close to another place"
closing film,dbo:closingFilm,dbo:FilmFestival,dbo:Film,closing film
club,dbo:club,dbo:Athlete,dbo:SportsTeam,club
clubs record goalscorer,dbo:clubsRecordGoalscorer,dbo:SoccerClub,dbo:Person,clubs record goalscorer
cluster,dbo:cluster,dbo:Galaxy,,cluster
co executive producer,dbo:coExecutiveProducer,dbo:TelevisionShow,dbo:Person,co executive producer
co producer,dbo:coProducer,dbo:TelevisionShow,dbo:Person,co producer
coach,dbo:coach,,dbo:Person,coach
coach club,dbo:coachClub,dbo:Athlete,dbo:SportsTeam,coach club
coached team,dbo:coachedTeam,,dbo:SportsTeam,coached team
coat of arms image,dbo:coatOfArms,,,"coat of arms image, image of the coat of arms (heraldic symbol)"
coemperor,dbo:coemperor,dbo:Monarch,dbo:Monarch,coemperor
collaboration,dbo:collaboration,dbo:Person,dbo:Person,collaboration
colleague,dbo:colleague,dbo:Person,dbo:Person,"colleague, colleague of a person or officeholder (not personfunction nor careerstation). sub-properties include: president, vicepresident, chancellor, vicechancellor, governor, lieutenant. points to a person who may have a general ""position"" (resource) or ""title"" (literal)."
country,dbo:collectionSize,,,country
collectivity minority,dbo:collectivityMinority,dbo:Settlement,,collectivity minority
college,dbo:college,dbo:Person,dbo:EducationalInstitution,college
colour,dbo:colour,,dbo:Colour,"colour, a colour represented by its entity."
comic,dbo:comic,dbo:FictionalCharacter,dbo:Comic,comic
command structure,dbo:commandStructure,dbo:MilitaryUnit,dbo:MilitaryUnit,command structure
commandant,dbo:commandant,,dbo:Person,commandant
commander,dbo:commander,,dbo:Person,commander
committee in legislature,dbo:committeeInLegislature,dbo:Legislature,,"committee in legislature, committee in the legislature (eg.: committee on economic and monetary affairs of the european parliament)."
commune,dbo:commune,dbo:Settlement,dbo:Settlement,commune
company,dbo:company,,dbo:Organisation,company
comparable,dbo:comparable,dbo:Rocket,dbo:Rocket,"comparable, similar, unrelated rockets"
competition,dbo:competition,dbo:SportCompetitionResult,dbo:Event,competition
competition title,dbo:competitionTitle,dbo:Person,dbo:SportsEvent,competition title
compiler,dbo:compiler,dbo:Album,dbo:Person,"compiler, for compilation albums: the person or entity responsible for selecting the album's track listing."
complexion,dbo:complexion,dbo:Person,,complexion
component,dbo:component,dbo:Brain,dbo:AnatomicalStructure,component
composer,dbo:composer,dbo:Work,dbo:Person,composer
Computing input,dbo:computingInput,dbo:Software,,computing input
Computing Media,dbo:computingMedia,dbo:Software,,computing media
computing platform,dbo:computingPlatform,dbo:Software,,"computing platform, some sort of hardware architecture or software framework, that allows this software to run"
conflict,dbo:conflict,,dbo:MilitaryConflict,conflict
congressional district,dbo:congressionalDistrict,dbo:AdministrativeRegion,,congressional district
connects referenced to,dbo:connectsReferencedTo,dbo:Reference,,"connects referenced to, connects a referenced resource to another resource. this property is important to connect non-extracted resources to extracted ones"
connotation,dbo:connotation,,,"connotation, a meaning of a word or phrase that is suggested or implied, as opposed to a denotation, or literal meaning."
constellation,dbo:constellation,dbo:CelestialBody,,constellation
constituency district,dbo:constituencyDistrict,,dbo:PopulatedPlace,constituency district
construction,dbo:construction,dbo:ArchitecturalStructure,,construction
construction material,dbo:constructionMaterial,dbo:ArchitecturalStructure,,"construction material, construction material (eg. concrete, steel, iron, stone, brick, wood)."
contest,dbo:contest,dbo:Person,dbo:Contest,contest
continent,dbo:continent,dbo:Country,dbo:Continent,"continent, links a country to the continent it belongs"
continental tournament,dbo:continentalTournament,dbo:Person,dbo:Tournament,continental tournament
contractor,dbo:contractor,dbo:Skyscraper,dbo:Company,contractor
conviction penalty,dbo:convictionPenalty,dbo:Criminal,,conviction penalty
cooling system,dbo:coolingSystem,dbo:AutomobileEngine,,cooling system
copilote,dbo:copilote,dbo:Person,dbo:Person,copilote
costume designer,dbo:costumeDesigner,dbo:Film,dbo:Person,"costume designer, the person who is responsible for the film costume design"
Council area,dbo:councilArea,dbo:PopulatedPlace,dbo:PopulatedPlace,council area
country,dbo:country,,dbo:Country,"country, the country where the thing is located."
country origin,dbo:countryOrigin,dbo:Rocket,dbo:Country,country origin
country with first astronaut,dbo:countryWithFirstAstronaut,dbo:YearInSpaceflight,dbo:Country,country with first astronaut
country with first satellite,dbo:countryWithFirstSatellite,dbo:YearInSpaceflight,dbo:Country,country with first satellite
country with first satellite launched,dbo:countryWithFirstSatelliteLaunched,dbo:YearInSpaceflight,dbo:Country,country with first satellite launched
country with first spaceflight,dbo:countryWithFirstSpaceflight,dbo:YearInSpaceflight,dbo:Country,country with first spaceflight
county,dbo:county,,dbo:PopulatedPlace,"county, the county where the thing is located."
county seat,dbo:countySeat,dbo:PopulatedPlace,,county seat
cousurper,dbo:cousurper,dbo:Person,dbo:Person,cousurper
cover artist,dbo:coverArtist,dbo:Work,dbo:Person,"cover artist, cover artist"
CPU,dbo:cpu,,,"cpu, cpu of an informationappliance or videogame (which unfortunately is currently under software)"
created,dbo:created,dbo:Person,dbo:Work,created
creative director,dbo:creativeDirector,dbo:TelevisionShow,dbo:Person,creative director
creator of dish,dbo:creatorOfDish,dbo:Food,dbo:Person,"creator of dish, the person that creates (invents) the food (eg. caesar cardini is the creator of the caesar salad)."
crest,dbo:crest,,,crest
crew,dbo:crew,dbo:Spacecraft,dbo:SpaceMission,crew
crew member,dbo:crewMember,dbo:SpaceMission,dbo:Astronaut,crew member
crosses,dbo:crosses,dbo:Bridge,dbo:River,crosses
cultivar,dbo:cultivatedVariety,dbo:Plant,dbo:CultivatedVariety,"cultivar, name of the cultivar (cultivated variety)"
curator,dbo:curator,dbo:Museum,dbo:Person,curator
currency,dbo:currency,,dbo:Currency,currency
current city,dbo:currentCity,,dbo:City,current city
current league,dbo:currentLeague,dbo:Athlete,dbo:SportsLeague,current league
current member,dbo:currentMember,dbo:SportsTeam,dbo:Person,current member
current partner,dbo:currentPartner,dbo:FigureSkater,dbo:Person,current partner
current production,dbo:currentProduction,dbo:Theatre,,"current production, the current production running in the theatre."
current team,dbo:currentTeam,dbo:Athlete,dbo:SportsTeam,current team
current team manager,dbo:currentTeamManager,dbo:Person,dbo:SportsTeam,current team manager
current team member,dbo:currentTeamMember,dbo:SportsTeam,dbo:TeamMember,"current team member, a current member of an athletic team."
current world champion,dbo:currentWorldChampion,dbo:Sport,dbo:Agent,current world champion
custodian,dbo:custodian,dbo:EducationalInstitution,dbo:Person,custodian
cyclist genre,dbo:cyclistGenre,"dbo:Athlete,_CareerStation",,cyclist genre
Daily Vaccinations Per Million,dbo:dailyVaccinationsPerMillion,,dbo:VaccinationStatistics,"daily vaccinations per million, vaccinationstatistics: people vaccinated percent."
Daily Vaccinations Raw,dbo:dailyVaccinationsRaw,,dbo:VaccinationStatistics,"daily vaccinations raw, vaccinationstatistics: daily vaccinations (raw data)."
daira,dbo:daira,dbo:Settlement,dbo:Place,daira
dam,dbo:dam,dbo:Animal,dbo:Animal,dam
damage amount,dbo:damage,dbo:Event,dbo:Currency,damage amount
damsire,dbo:damsire,dbo:Animal,dbo:Animal,damsire
daughter,dbo:daughter,dbo:Woman,dbo:Person,daughter
daylight saving time zone,dbo:daylightSavingTimeZone,dbo:Place,,daylight saving time zone
de facto language,dbo:deFactoLanguage,,dbo:Language,de facto language
dean,dbo:dean,dbo:EducationalInstitution,dbo:Person,dean
deanery,dbo:deanery,"dbo:Diocese,_Parish",dbo:Deanery,"deanery, dioceses and parishes should know which deaneries there are"
death cause,dbo:deathCause,dbo:Person,,death cause
death place,dbo:deathPlace,dbo:Animal,dbo:Place,"death place, the place where the person died."
